id(pk),tipo_asent
1084,COLONIA
1085,COLONIA
1086,COLONIA
1087,COLONIA
1088,COLONIA
1089,COLONIA
1090,COLONIA
1091,COLONIA
1092,COLONIA
1093,COLONIA
1094,COLONIA
1095,COLONIA
1096,COLONIA
1097,COLONIA
1098,COLONIA
1099,COLONIA
1100,FRACCIONAMIENTO
1101,COLONIA
1102,COLONIA
1103,ZONA COMERCIAL
1104,ZONA COMERCIAL
1105,COLONIA
1106,ZONA COMERCIAL
1107,
1108,COLONIA
1109,FRACCIONAMIENTO
1110,EJIDO
1111,COLONIA
1112,FRACCIONAMIENTO
1113,COLONIA
1114,COLONIA
1115,COLONIA
1116,COLONIA
1117,COLONIA
1118,FRACCIONAMIENTO
1119,COLONIA
1120,FRACCIONAMIENTO
1121,COLONIA
1122,COLONIA
1123,COLONIA
1124,FRACCIONAMIENTO
1125,
1126,COLONIA
1127,COLONIA
1128,FRACCIONAMIENTO
1129,COLONIA
1130,COLONIA
1131,COLONIA
1132,COLONIA
1133,COLONIA
1134,COLONIA
1135,FRACCIONAMIENTO
1136,COLONIA
1137,FRACCIONAMIENTO
1138,COLONIA
1139,COLONIA
1140,COLONIA
1141,COLONIA
1142,COLONIA
1143,FRACCIONAMIENTO
1144,COLONIA
1145,FRACCIONAMIENTO
1146,COLONIA
1147,COLONIA
1148,COLONIA
1149,COLONIA
1150,COLONIA
1151,FRACCIONAMIENTO
1152,COLONIA
1153,EJIDO
1154,PUEBLO
1155,ZONA COMERCIAL
1156,COLONIA
1157,FRACCIONAMIENTO
1158,COLONIA
1159,COLONIA
1160,FRACCIONAMIENTO
1161,COLONIA
1162,COLONIA
1163,COLONIA
1164,COLONIA
1165,COLONIA
1166,LOCALIDAD
1167,COLONIA
1168,COLONIA
1169,COLONIA
1170,COLONIA
1171,COLONIA
1172,COLONIA
1173,FRACCIONAMIENTO
1174,COLONIA
1175,
1176,COLONIA
1177,COLONIA
1178,FRACCIONAMIENTO
1179,COLONIA
1180,EJIDO
1181,COLONIA
1182,FRACCIONAMIENTO
1183,COLONIA
1184,COLONIA
1185,FRACCIONAMIENTO
1186,COLONIA
1187,EJIDO
1188,COLONIA
1189,COLONIA
1190,COLONIA
1191,
1192,FRACCIONAMIENTO
1193,
1194,FRACCIONAMIENTO
1195,COLONIA
1196,FRACCIONAMIENTO
1197,COLONIA
1198,FRACCIONAMIENTO
1199,FRACCIONAMIENTO
1200,COLONIA
1201,COLONIA
1202,COLONIA
1203,COLONIA
1204,COLONIA
1205,COLONIA
1206,COLONIA
1207,FRACCIONAMIENTO
1208,COLONIA
1209,COLONIA
1210,FRACCIONAMIENTO
1211,FRACCIONAMIENTO
1212,COLONIA
1213,COLONIA
1214,COLONIA
1215,FRACCIONAMIENTO
1216,COLONIA
1217,COLONIA
1218,COLONIA
1219,COLONIA
1220,FRACCIONAMIENTO
1221,PRIVADA
1222,COLONIA
1223,COLONIA
1224,COLONIA
1225,COLONIA
1226,FRACCIONAMIENTO
1227,COLONIA
1228,COLONIA
1229,COLONIA
1230,FRACCIONAMIENTO
1231,COLONIA
1232,EJIDO
1233,FRACCIONAMIENTO
1234,COLONIA
1235,COLONIA
1236,COLONIA
1237,COLONIA
1238,FRACCIONAMIENTO
1239,COLONIA
1240,COLONIA
1241,COLONIA
1242,COLONIA
1243,COLONIA
1244,COLONIA
1245,COLONIA
1246,
1247,COLONIA
1248,FRACCIONAMIENTO
1249,FRACCIONAMIENTO
1250,COLONIA
1251,COLONIA
1252,COLONIA
1253,COLONIA
1254,COLONIA
1255,COLONIA
1256,RANCHO
1257,COLONIA
1258,COLONIA
1259,COLONIA
1260,FRACCIONAMIENTO
1261,MANZANA
1262,COLONIA
1263,COLONIA
1264,COLONIA
1265,COLONIA
1266,COLONIA
1267,COLONIA
1268,COLONIA
1269,FRACCIONAMIENTO
1270,FRACCIONAMIENTO
1271,COLONIA
1272,COLONIA
1273,COLONIA
1274,COLONIA
1275,COLONIA
1276,COLONIA
1277,FRACCIONAMIENTO
1278,PUEBLO
1279,COLONIA
1280,COLONIA
1281,COLONIA
1282,COLONIA
1283,COLONIA
1284,COLONIA
1285,COLONIA
1286,COLONIA
1287,COLONIA
1288,COLONIA
1289,COLONIA
1290,COLONIA
1291,COLONIA
1292,COLONIA
1293,FRACCIONAMIENTO
1294,COLONIA
1295,FRACCIONAMIENTO
1296,FRACCIONAMIENTO
1297,COLONIA
1298,COLONIA
1299,FRACCIONAMIENTO
1300,
1301,COLONIA
1302,EJIDO
1303,COLONIA
1304,COLONIA
1305,COLONIA
1306,COLONIA
1307,COLONIA
1308,RANCHO
1309,EJIDO
1310,COLONIA
1311,COLONIA
1312,COLONIA
1313,COLONIA
1314,FRACCIONAMIENTO
1315,FRACCIONAMIENTO
1316,COLONIA
1317,FRACCIONAMIENTO
1318,FRACCIONAMIENTO
1319,COLONIA
1320,COLONIA
1321,COLONIA
1322,COLONIA
1323,FRACCIONAMIENTO
1324,COLONIA
1325,COLONIA
1326,PUEBLO
1327,COLONIA
1328,COLONIA
1329,COLONIA
1330,COLONIA
1331,COLONIA
1332,FRACCIONAMIENTO
1333,COLONIA
1334,FRACCIONAMIENTO
1335,COLONIA
1336,
1337,COLONIA
1338,FRACCIONAMIENTO
1339,COLONIA
1340,
1341,EJIDO
1342,FRACCIONAMIENTO
1343,COLONIA
1344,EJIDO
1345,COLONIA
1346,FRACCIONAMIENTO
1347,COLONIA
1348,FRACCIONAMIENTO
1349,COLONIA
1350,COLONIA
1351,FRACCIONAMIENTO
1352,FRACCIONAMIENTO
1353,COLONIA
1354,COLONIA
1355,COLONIA
1356,FRACCIONAMIENTO
1357,COLONIA
1358,COLONIA
1359,COLONIA
1360,COLONIA
1361,EJIDO
1362,COLONIA
1363,FRACCIONAMIENTO
1364,FRACCIONAMIENTO
1365,COLONIA
1366,COLONIA
1367,COLONIA
1368,PRIVADA
1369,COLONIA
1370,COLONIA
1371,COLONIA
1372,COLONIA
1373,COLONIA
1374,COLONIA
1375,COLONIA
1376,COLONIA
1377,COLONIA
1378,COLONIA
1379,FRACCIONAMIENTO
